,rawData,additive,description
1161,"Sodium N-cyclohexyl-N-palmitoyl taurate- SANI, REG, Followed by adequate drainage - 178.1010(b)(40)",Sodium N-cyclohexyl-N-palmitoyl taurate,"SANI, REG, Followed by adequate drainage - 178.1010(b)(40)"
1162,"Sodium decylbenzenesulfonate- MISC, REG, GMP -Adjuvant for ctg on fresh citrus fruits - 172.210",Sodium decylbenzenesulfonate,"MISC, REG, GMP -Adjuvant for ctg on fresh citrus fruits - 172.210"
1163,"Sodium diacetate- MISC, GRAS, GMP - 184.1754",Sodium diacetate,"MISC, GRAS, GMP - 184.1754"
1164,"Sodium dichloroisocyanurate- SANI, REG, < 100 ppm available halogen - Followed by adequate drainage -178.1010",Sodium dichloroisocyanurate,"SANI, REG, < 100 ppm available halogen - Followed by adequate drainage -178.1010"
1165,"Sodium dimethyldithiocarbamate- PRES, REG, 3.0 ppm in raw cane - Comb w/ Disodium ethylenebisdithiocarbamate for control of microorganisms in cane sugar mills -173.320; 3.0 ppm in raw cane or sugar beets - Comb w/Disodium ethylene bisdithiocarbamate & ethylenediamine for control of microorganisms in cane sugar and beet sugar mills - 173.320",Sodium dimethyldithiocarbamate,"PRES, REG, 3.0 ppm in raw cane - Comb w/ Disodium ethylenebisdithiocarbamate for control of microorganisms in cane sugar mills -173.320; 3.0 ppm in raw cane or sugar beets - Comb w/Disodium ethylene bisdithiocarbamate & ethylenediamine for control of microorganisms in cane sugar and beet sugar mills - 173.320"
1166,"Sodium dioctylsulfosuccinate- SANI, REG, GMP, Followed by adequate drainage - 178.1010",Sodium dioctylsulfosuccinate,"SANI, REG, GMP, Followed by adequate drainage - 178.1010"
1167,"Sodium dodecylbenzenesulfonate- MISC, REG, < 0.2% in wash water - Surface active agent in commercial detergents used in washing fruits & vegs, or to assist in lye peeling these prods - 173.315",Sodium dodecylbenzenesulfonate,"MISC, REG, < 0.2% in wash water - Surface active agent in commercial detergents used in washing fruits & vegs, or to assist in lye peeling these prods - 173.315"
1168,"Sodium 2-ethylhexylsulfate- MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315",Sodium 2-ethylhexylsulfate,"MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315"
1169,Sodium ferrocyanide decahydrate- See Prussiate of soda,Sodium ferrocyanide decahydrate,See Prussiate of soda
1170,"Sodium fluoride - NUTR, PD/ILL, GMP, X-ref - Fluorine containing compounds",Sodium fluoride,"NUTR, PD/ILL, GMP, X-ref - Fluorine containing compounds"
1171,"Sodium glucoheptonate- BC, REG, < 1 ppm cyanide in compound - Boiler water additive - 173.310",Sodium glucoheptonate,"BC, REG, < 1 ppm cyanide in compound - Boiler water additive - 173.310"
1172,"Sodium gluconate- MISC, GRAS/FS, GMP - 182.6757",Sodium gluconate,"MISC, GRAS/FS, GMP - 182.6757"
1173,"Sodium hexametaphosphate- BC, REG, GMP, Boiler water additive - 173.310; SEQ, GRAS/FS, Fruit Jellies - Part 150; Cheese - Part 133; Froz Desserts - Part 135; Food Dress - Part 169; GRAS, GMP - 182.6760; GRAS, Migr to food from paper and paperboard prods - 182.90",Sodium hexametaphosphate,"BC, REG, GMP, Boiler water additive - 173.310; SEQ, GRAS/FS, Fruit Jellies - Part 150; Cheese - Part 133; Froz Desserts - Part 135; Food Dress - Part 169; GRAS, GMP - 182.6760; GRAS, Migr to food from paper and paperboard prods - 182.90"
1174,"Sodium humate- BC, REG, GMP, Boiler water additive -173.310",Sodium humate,"BC, REG, GMP, Boiler water additive -173.310"
1175,"Sodium hydroxide- B&N, GRAS/FS, Cocoa Prods - Part 163; MISC, GRAS - 184.1763; BC, REG, GMP, Boiler water additive - 173.310; In animal feeds - 582.1763; MISC, REG, < 1% - In modifying food starch - 172.892; MISC - Used in manufacture of modified hop extract - 172.560; MISC -Used in manufacture of hydroxylated lecithin - 172.814",Sodium hydroxide,"B&N, GRAS/FS, Cocoa Prods - Part 163; MISC, GRAS - 184.1763; BC, REG, GMP, Boiler water additive - 173.310; In animal feeds - 582.1763; MISC, REG, < 1% - In modifying food starch - 172.892; MISC - Used in manufacture of modified hop extract - 172.560; MISC -Used in manufacture of hydroxylated lecithin - 172.814"
1176,"Sodium hypochlorite- MISC, REG, < 0.055 lb Cl per lb drystarch; 0.45% active O2 from H2O2; and < 25% propyleneoxide, or not to exceed 0.0082 lb Cl per lb of dry starch - In modifying food starch, residual propylene- chlorohydrin < 5 ppm - 172.892; REG, GMP, Used in washing or to assist in the lye peeling of fruits & vegs - 173.315; SANI, See REG, < 200 ppm available Cl - Followed by adequate drainage - 178.1010",Sodium hypochlorite,"MISC, REG, < 0.055 lb Cl per lb drystarch; 0.45% active O2 from H2O2; and < 25% propyleneoxide, or not to exceed 0.0082 lb Cl per lb of dry starch - In modifying food starch, residual propylene- chlorohydrin < 5 ppm - 172.892; REG, GMP, Used in washing or to assist in the lye peeling of fruits & vegs - 173.315; SANI, See REG, < 200 ppm available Cl - Followed by adequate drainage - 178.1010"
1177,"Sodium hypophosphite- EMUL/STAB, GRAS, GMP -184.1764",Sodium hypophosphite,"EMUL/STAB, GRAS, GMP -184.1764"
1178,"Sodium iodate- DS, GRAS, Animal feed; Source of Iodine -Trace Mineral - 582.80",Sodium iodate,"DS, GRAS, Animal feed; Source of Iodine -Trace Mineral - 582.80"
1179,"Sodium iodide- DS, GRAS, Animal feed; Source of Iodine - Trace Mineral - 582.80; SANI, REG, < 25 ppm I in sln -Followed by adequate drainage - 178.1010",Sodium iodide,"DS, GRAS, Animal feed; Source of Iodine - Trace Mineral - 582.80; SANI, REG, < 25 ppm I in sln -Followed by adequate drainage - 178.1010"
1180,"Sodium lactate- MISC, GRAS, GMP - 184.1768",Sodium lactate,"MISC, GRAS, GMP - 184.1768"
1181,"Sodium laurate- MISC, REG, X-ref wi fatty acids, salts of -172.863",Sodium laurate,"MISC, REG, X-ref wi fatty acids, salts of -172.863"
1182,"Sodium lauryl sulfate- EMUL, REG, < 125 ppm (0.0125%) - In liquid & froz egg whites - 172.822; < 1,000 ppm (0.1%) - In egg white solids - 172.822; < 5,000 ppm (0.5%) wt of gelatin - Whipping agent in gelatin used in preparing marshmallows - 172.822; AF, REG, < 25 ppm in finished product - As a surfactant in fumaric acid-acidulated dry bev base & fruit juice drinks unless precluded by a food standard - 172.822; SDA, REG < 10 ppm - In the partition of high and low melting fractions of crude veg oils and animal fats provided partitioning is followed by a conventional refining process that includes alkali neutralization and deodorization of the fats and oils - 172.822; CTG, REG, GMP - For ctg on fresh citrus fruit - 172.210; SANI, REG, GMP - Followed by adequate drainage - 178.1010",Sodium lauryl sulfate,"EMUL, REG, < 125 ppm (0.0125%) - In liquid & froz egg whites - 172.822; < 1,000 ppm (0.1%) - In egg white solids - 172.822; < 5,000 ppm (0.5%) wt of gelatin - Whipping agent in gelatin used in preparing marshmallows - 172.822; AF, REG, < 25 ppm in finished product - As a surfactant in fumaric acid-acidulated dry bev base & fruit juice drinks unless precluded by a food standard - 172.822; SDA, REG < 10 ppm - In the partition of high and low melting fractions of crude veg oils and animal fats provided partitioning is followed by a conventional refining process that includes alkali neutralization and deodorization of the fats and oils - 172.822; CTG, REG, GMP - For ctg on fresh citrus fruit - 172.210; SANI, REG, GMP - Followed by adequate drainage - 178.1010"
1183,"Sodium lignosulfonate- BC, REG, GMP, Boiler water additive - 173.310",Sodium lignosulfonate,"BC, REG, GMP, Boiler water additive - 173.310"
1184,"Sodium lignum sulfonate- FEED, REG, < 4% of finished pellets - As sole pelleting aid in animal feeds - 576.600",Sodium lignum sulfonate,"FEED, REG, < 4% of finished pellets - As sole pelleting aid in animal feeds - 576.600"
1185,"Sodium metabisulfite- PRES, GRAS, GMP, Not in meats or foods recognized as a source of Vit B1, etc., See REG -182.3766; GRAS/FS, Fruit Jellies - Part 150; BC, REG, GMP, Boiler water additive - 173.310",Sodium metabisulfite,"PRES, GRAS, GMP, Not in meats or foods recognized as a source of Vit B1, etc., See REG -182.3766; GRAS/FS, Fruit Jellies - Part 150; BC, REG, GMP, Boiler water additive - 173.310"
1186,"Sodium metaphosphate- EMUL, GRAS/FS, Cheeses -Part 133; GRAS, GMP - 182.6769",Sodium metaphosphate,"EMUL, GRAS/FS, Cheeses -Part 133; GRAS, GMP - 182.6769"
1187,"Sodium metasilicate- BC, REG, GMP, Boiler water additive - 173.310; MISC, GRAS, GMP - 184.1769a",Sodium metasilicate,"BC, REG, GMP, Boiler water additive - 173.310; MISC, GRAS, GMP - 184.1769a"
1188,"Sodium methyl sulfate- EMUL, REG, < 0.1% in pectin -As a proc residue in pectin - 173.385",Sodium methyl sulfate,"EMUL, REG, < 0.1% in pectin -As a proc residue in pectin - 173.385"
1189,"Sodium mono- & dimethylnaphthalenesulfonates-MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315; REG, < 250 ppm - In sodium carbonate for use in potable water systems - 172.824;AC, REG, < 0.1% - In sodium nitrite used in cured fish and meat - 172.824",Sodium mono,"& dimethylnaphthalenesulfonates-MISC, REG, < 0.2% in wash water - Used in washing or to assist in lye peeling of fruits & vegs - 173.315; REG, < 250 ppm - In sodium carbonate for use in potable water systems - 172.824;AC, REG, < 0.1% - In sodium nitrite used in cured fish and meat - 172.824"
1190,"Sodium myristate- MISC, REG, X-ref wi fatty acids, salts of - 172.863",Sodium myristate,"MISC, REG, X-ref wi fatty acids, salts of - 172.863"
1191,"Sodium nicotinate - ILL, Request for extension of statute and for filing of petition denied. Deceptive use in ground meat for color retention.",Sodium nicotinate,"ILL, Request for extension of statute and for filing of petition denied. Deceptive use in ground meat for color retention."
1192,"Sodium nitrate- PRES, REG, < 500 ppm - Alone or w/ sodium nitrite as a preservative and color fixative in smoked, cured salmon, shad, & sablefish, or in meat-curing preparations for home curing of meat & meat prods (including poultry & wild game) - 172.170; BC, REG, GMP, Boiler water additive -173.310; PS (by USDA) - As a source of nitrite, w/ or w/o sodium or potassium nitrite, in the prod of cured red meats and poultry - 181.33",Sodium nitrate,"PRES, REG, < 500 ppm - Alone or w/ sodium nitrite as a preservative and color fixative in smoked, cured salmon, shad, & sablefish, or in meat-curing preparations for home curing of meat & meat prods (including poultry & wild game) - 172.170; BC, REG, GMP, Boiler water additive -173.310; PS (by USDA) - As a source of nitrite, w/ or w/o sodium or potassium nitrite, in the prod of cured red meats and poultry - 181.33"
1193,"Sodium nitrite- PRES, REG, < 200 ppm - Alone or with sodium nitrate as a preservative and color fixative in smoked, cured salmon, shad & sablefish; or in meat curing preparations for home curing of meat & meat prods -172.175; REG, > 100 ppm to < 200 ppm - In loin muscle of smoked chub - 172.177; REG, < 10 ppm (0.001% sodium nitrite) - Alone as color fixative in smoked, cured tuna -172.175; REG, < 20 ppm - In cnd pet food containing meat & fish and their by-prods - 573.700; PS (by USDA) - As a color fixative and preservative, wi or without sodium or potassium nitrate, in the curing of red meat and poultry - 181.34",Sodium nitrite,"PRES, REG, < 200 ppm - Alone or with sodium nitrate as a preservative and color fixative in smoked, cured salmon, shad & sablefish; or in meat curing preparations for home curing of meat & meat prods -172.175; REG, > 100 ppm to < 200 ppm - In loin muscle of smoked chub - 172.177; REG, < 10 ppm (0.001% sodium nitrite) - Alone as color fixative in smoked, cured tuna -172.175; REG, < 20 ppm - In cnd pet food containing meat & fish and their by-prods - 573.700; PS (by USDA) - As a color fixative and preservative, wi or without sodium or potassium nitrate, in the curing of red meat and poultry - 181.34"
1194,"Sodium 1-octanesulfonate- SANI, REG - Comp of sanitizing sln - > 156 to < 312 ppm, isopropyl alcohol may be added as an optional ingredient - Followed by adequate draining - 178.1010(b)(27); Comp of sanitizing sln - Sulfuric acid may be added as an optional ingredient - Followed by adequate draining - 178.1010",Sodium 1-octanesulfonate,"SANI, REG - Comp of sanitizing sln - > 156 to < 312 ppm, isopropyl alcohol may be added as an optional ingredient - Followed by adequate draining - 178.1010(b)(27); Comp of sanitizing sln - Sulfuric acid may be added as an optional ingredient - Followed by adequate draining - 178.1010"
1195,"Sodium oleate- MISC, REG, X-ref wi fatty acids, salts of -172.863",Sodium oleate,"MISC, REG, X-ref wi fatty acids, salts of -172.863"
1196,"Sodium palmitate- MISC, REG, X-ref wi fatty acids, salts of - 172.863",Sodium palmitate,"MISC, REG, X-ref wi fatty acids, salts of - 172.863"
1197,"Sodium pantothenate- MISC, GRAS, GMP - 182.5772",Sodium pantothenate,"MISC, GRAS, GMP - 182.5772"
1198,"Sodium pectinate- MISC, GRAS - In animal feeds -582.1775; EMUL/STAB, GRAS, GMP - 184.1588",Sodium pectinate,"MISC, GRAS - In animal feeds -582.1775; EMUL/STAB, GRAS, GMP - 184.1588"
1199,"Sodium phosphate (mono-, di-, and tribasic)- MISC, GRAS, GMP - 182.1778; SEQ, GRAS, GMP - 182.6778; DS/NUTR, GRAS, GMP - 182.5778, 182.8778; BC, REG, GMP, Boiler water additive - 173.310; GRAS/FS - Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jellies, Pres, and Jams - 150.141, 150.161","Sodium phosphate (mono-, di-, and tribasic)","MISC, GRAS, GMP - 182.1778; SEQ, GRAS, GMP - 182.6778; DS/NUTR, GRAS, GMP - 182.5778, 182.8778; BC, REG, GMP, Boiler water additive - 173.310; GRAS/FS - Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jellies, Pres, and Jams - 150.141, 150.161"
1200,"Sodium phosphate (monobasic) (monosodium phos­phate)- PRES, GRAS/FS, < 0.5% - Froz Eggs - 160.110; Cacao Prods - Part 163",Sodium phosphate (monobasic) (monosodium phos­phate),"PRES, GRAS/FS, < 0.5% - Froz Eggs - 160.110; Cacao Prods - Part 163"
1201,"Sodium phosphate(dibasic) (disodium phosphate) - GRAS, GMP - 182.6290; GRAS/FS- Froz Deserts - Part 135; Enriched Farina - 137.305; Macaroni and Noodle Prods - Part 139;",Sodium phosphate(dibasic) (disodium phosphate),"GRAS, GMP - 182.6290; GRAS/FS- Froz Deserts - Part 135; Enriched Farina - 137.305; Macaroni and Noodle Prods - Part 139;"
1202,"Sodium polyacrylate-acrylamide resin- MISC, REG, < 2.5% wt of juice or liquor - In beet sugar or cane sugar juice to control organic and mineral scale - 173.5",Sodium polyacrylate-acrylamide resin,"MISC, REG, < 2.5% wt of juice or liquor - In beet sugar or cane sugar juice to control organic and mineral scale - 173.5"
1203,"Sodium polyacrylate- BC, REG, GMP, Boiler water additive - 173.310; MISC, REG, < 3.6 ppm of raw juice weight -Mineral scale inhibition in beet and cane sugar prod",Sodium polyacrylate,"BC, REG, GMP, Boiler water additive - 173.310; MISC, REG, < 3.6 ppm of raw juice weight -Mineral scale inhibition in beet and cane sugar prod"
1204,"Sodium polymethacrylate- BC, REG, GMP, Boiler water additive - 173.310",Sodium polymethacrylate,"BC, REG, GMP, Boiler water additive - 173.310"
1205,"Sodium potassium tartrate- MISC, GRAS/FS, Cheeses - Part 150; Art Sw Fruit Jellies, Pres, and Jams - 150.141, 150.161; MISC, GRAS, GMP - 184.1804; In animal feeds -582.1804",Sodium potassium tartrate,"MISC, GRAS/FS, Cheeses - Part 150; Art Sw Fruit Jellies, Pres, and Jams - 150.141, 150.161; MISC, GRAS, GMP - 184.1804; In animal feeds -582.1804"
1206,"Sodium propionate- PRES, GRAS/FS, GMP, Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jellies, Pres, and Jams -150.141, 150.161; Bakery Prods - Part 136; MISC, GRAS, GMP - 184.1784",Sodium propionate,"PRES, GRAS/FS, GMP, Cheeses and Rel Cheese Prods - Part 133; Art Sw Fruit Jellies, Pres, and Jams -150.141, 150.161; Bakery Prods - Part 136; MISC, GRAS, GMP - 184.1784"
1207,"Sodium pyrophosphate- SEQ, GRAS, GMP - 182.6787",Sodium pyrophosphate,"SEQ, GRAS, GMP - 182.6787"
1208,"Sodium saccharin-NNS, GRAS/INTERIM, See Saccharin - 180.37","Sodium saccharin-NNS, GRAS/INTERIM, See Saccharin",180.37
1209,"Sodium salts of fatty acids- MISC, REG, GMP, Binder, emulsifier, and anticaking agent in food - 172.860, 172.863",Sodium salts of fatty acids,"MISC, REG, GMP, Binder, emulsifier, and anticaking agent in food - 172.860, 172.863"
1210,"Sodium sesquicarbonate- MISC, GRAS, GMP -184.1792",Sodium sesquicarbonate,"MISC, GRAS, GMP -184.1792"
1211,"Sodium silicate- BC, REG, GMP, Boiler water additive -173.310;",Sodium silicate,"BC, REG, GMP, Boiler water additive -173.310;"
1212,"Sodium silicoaluminate- AC, GRAS/FS, X-ref - Sodium aluminosilicate - Dried whole eggs and egg yolks - 160.105, 160.185",Sodium silicoaluminate,"AC, GRAS/FS, X-ref - Sodium aluminosilicate - Dried whole eggs and egg yolks - 160.105, 160.185"
1213,"Sodium sorbate- PRES, GRAS/FS, < 0.3% by wt as sorbic acid - Cheeses and Rel Cheese Prods, alone or comb wi potassium sorbate or sorbic acid - Part 133; 0.1% by wt -Fruit Butter, Art Sw Fruit Jelly, Pres, and Jams - 150.110, 150.141, 150.161; < 0.2% in comb or < .1% - Margarine -160.110; GRAS - Migr to food from paper and paperboard prods - 182.90",Sodium sorbate,"PRES, GRAS/FS, < 0.3% by wt as sorbic acid - Cheeses and Rel Cheese Prods, alone or comb wi potassium sorbate or sorbic acid - Part 133; 0.1% by wt -Fruit Butter, Art Sw Fruit Jelly, Pres, and Jams - 150.110, 150.141, 150.161; < 0.2% in comb or < .1% - Margarine -160.110; GRAS - Migr to food from paper and paperboard prods - 182.90"
1214,"Sodium stearate- MISC, REG, Comp of chewing gum base - 172.615; X-ref wi 172.863; STAB, PS, Migr from food pckg material - 181.29",Sodium stearate,"MISC, REG, Comp of chewing gum base - 172.615; X-ref wi 172.863; STAB, PS, Migr from food pckg material - 181.29"
1215,"Sodium stearoyl lactylate- REG, As follows unless pre­cluded by Food Standards - 172.846; < 0.5% by weight of flour - As dough strengthener, emulsifier, or proc aid in baked prods, pancakes, waffles and prepared mixes of these; < 0.2% by weight of finished food - As surface active agent, emulsifier, or stabilizer in icings, fillings, puddings, toppings and prepared mixes of these; < 0.3% by weight of finished emulsion - As emulsifier or stabilizer in liquid and solid edible fat-water emulsion used as substitutes for milk and cream in coffee; < 0.5% of dry weight - As formulation aid, proc aid, or surface active agent in dehydrated potatoes; < 0.2% by weight - As emulsifier, stabilizer, or texturizer in snack dips and cheese and cheese product substitutes and imitations; < 0.25% by weight of finished food - As an emulsifier, stabilizer, or texturizer in sauces or gravies, prods containing same, and prepared mixes of same",Sodium stearoyl lactylate,"REG, As follows unless pre­cluded by Food Standards - 172.846; < 0.5% by weight of flour - As dough strengthener, emulsifier, or proc aid in baked prods, pancakes, waffles and prepared mixes of these; < 0.2% by weight of finished food - As surface active agent, emulsifier, or stabilizer in icings, fillings, puddings, toppings and prepared mixes of these; < 0.3% by weight of finished emulsion - As emulsifier or stabilizer in liquid and solid edible fat-water emulsion used as substitutes for milk and cream in coffee; < 0.5% of dry weight - As formulation aid, proc aid, or surface active agent in dehydrated potatoes; < 0.2% by weight - As emulsifier, stabilizer, or texturizer in snack dips and cheese and cheese product substitutes and imitations; < 0.25% by weight of finished food - As an emulsifier, stabilizer, or texturizer in sauces or gravies, prods containing same, and prepared mixes of same"
